Date,TweetContent,SentimentScore
2022-03-18 00:00:00,"Bitcoin $BTC buyers are active after maintaining the $40K level. The intermediate-term downtrend is nearing an end, albeit with strong resistance at $43K-$46K., , https://t.co/6n3ZEdNGBU",0.7184
2022-03-17 00:00:00,"Bitcoin $BTC appears overbought on intraday charts, but pullbacks could be limited into the Asia trading day. Here are some levels to watch., , https://t.co/P4OTAxshch",-0.3291
2022-03-17 00:00:00,"Bitcoin held above the $40,000 level a day after the U.S. Fed raised interest rates, leading to a broader cheer in equities and the crypto market., , By @shauryamalwa , , https://t.co/ni6yXR2rG2",0.743
2022-03-19 00:00:00,"Mark Zuckerberg said this week that NFTs are coming to Instagram. If this got you thinking it’s time to finally create your first digital art, we’ve got you covered., , @megdematteo walks you step-by-step on how to mint your first NFT., https://t.co/8hNTgxSMRo",0.2732
2022-03-18 00:00:00,"Jim Chanos said he's shorting crypto exchange @Coinbase because of his concerns about increased competition and profitability. , , @mikeybellusci reports, , https://t.co/zkyWI1BheM",0.4939
2022-03-18 00:00:00,"The #Bitcoin hashrate dropped on Thursday for the second time this month. , , A combination of rising global electricity prices and Russia’s invasion of Ukraine may have led certain miners to go offline., , Watch Chart of the Day, presented by @cryptocom: https://t.co/4xbngLgffy https://t.co/mrPFzH4fyp",0.1531
2022-03-17 00:00:00,"Bitcoin miner @TeraWulfInc, which counts among its backers actress Gwyneth Paltrow, sees reaching a hashrate of 4.7 to 5.1 EH/s by the end of this year. , , Reports @Aoyon_A, , https://t.co/Lkn4BfVaEu",0.2023
2022-03-17 00:00:00,"The surprise rate hike came as Taiwan’s GDP growth is expected to continue to be historically strong, 4.5% forecasted for this year; bitcon held steady just below $41,000, but ETH, SOL, AVAX and other altcoins rose. , , @thesamreynolds and @JPRubin23 report, , https://t.co/ERy9Rnq1jE",0.5423
2022-03-19 00:00:00,"""#Bitcoin is trending to be a more resilient alternative option to hedge against fiat-currency inflation,"" said the U.S. lawmaker. #crypto #cryptocurrency $BTC https://t.co/PXfzMMXiPB",0.0
2022-03-18 00:00:00,"Jocelyn Cheng says that ""Luno Expeditions will focus on the group’s early-stage investing in equity and convertible rounds."" #luno #funding #web3 https://t.co/5bprkZLeK2",0.0
2022-03-18 00:00:00,"The regulation is expected to be published this year, meaning that #crypto firms would have to create anti-money laundering plans and report suspicious transactions to the UIF. https://t.co/4TkzU6jb0E",-0.1027
2022-03-17 00:00:00,"#Russia can set up its own #cryptocurrency exchanges, according to a member of the State Duma. https://t.co/2vg0YysYCf",0.0
2022-03-17 00:00:00,"“#Crypto startups must not be weighed down by extra-jurisdictional and burdensome reporting requirements,” said the lawmaker. #cryptocurrency #bitcoin $BTC https://t.co/ccdQluY6Na",-0.4215
2022-03-19 00:00:00,@panicselling 🙌,0.0
2022-03-18 00:00:00,#Bitcoin pumping while Banks are closed! 😘🤌 💕,0.68
2022-03-18 00:00:00,"I spoke to Samson about his work onboarding the next 10 countries to #Bitcoin adoption. , , Listen 👇👇👇, https://t.co/kV4mkQeZDx",0.0
2022-03-17 00:00:00,@AltcoinGordon People think it was easy inheriting that colonial era diamond mining concession you have…but they don’t understand the hustle.,0.6486
2022-03-17 00:00:00,@AltcoinGordon Secret to my billions 👇 https://t.co/I2aGBbgoyp,0.0
2022-03-18 00:00:00,Range bound for a month. https://t.co/Kxxrtoaj0V,0.0
2022-03-17 00:00:00,Why is the volume so weak? @100trillionUSD @woonomic https://t.co/HpgkkKjRSW,-0.5777
2022-03-19 00:00:00,"PeckShield shows that 14 Ethereum addresses, with no previous history of mainstream NFT collection purchases, bought 159 Meebits between March 5 and March 11, before the acquisition by Yuga Labs, which raised accusations of insider trading. https://t.co/1gktUFxrbN",-0.5423
2022-03-18 00:00:00,"South Korea’s new president is considering postponing a virtual currency tax, which has been delayed until January 2023, for another year until early 2024, the Korea Daily reported. , https://t.co/JAcxTyjc6J",-0.34
2022-03-18 00:00:00,Time announced the release of a full magazine issue that will be available as an NFT with a cover story on Vitalik. The NFT was created with the LITDAO and will be airdropped to select TIMEPiece holders and genesis LIT community wallet holders.https://t.co/dkFsbgHHeV,0.25
2022-03-17 00:00:00,"L2 Optimism tells TechCrunch they’ve closed a $150 million Series B funding round co-led by Andreessen Horowitz and Paradigm at a $1.65 billion valuation. , https://t.co/nM2KWIwGjW",0.5423
2022-03-17 00:00:00,"According to Etherscan, more than 38 million ApeCoins have been claimed (the total amount of airdrops is 150 million). In addition,the loor price of BAYC dropped rapidly after the airdrop was opened. https://t.co/OnlnL0oxT4",0.0
2022-03-19 00:00:00,"Permie, your VIP access to Permissionless 🗝️ , , Holders will be able to attend our ""Gatsby White's"" event and ""sport"" exclusive holder merch 🌙🌟, , More will be revealed 🔜 https://t.co/zBTqrmUeel",0.6739
2022-03-18 00:00:00,"The purchased ape named “Manager Noët All” will lead the company’s virtual NFT band Kingship., , Via @morgan_chittum , https://t.co/UdvSibrRYI",0.0
2022-03-18 00:00:00,The world's largest music label acquired an APE for 125 #Ethereum https://t.co/zQLxGItZCD,0.0
2022-03-17 00:00:00,"ApeCoin's value dropped 84%, from $39.4 to $6.31 Thursday morning, according to Coinbase, , @morgan_chittum reports, https://t.co/3uE5UCKbXJ",0.34
2022-03-17 00:00:00,"✨ Join us in less than 30 minutes! ✨, , Spaces with the @doodles community:, , - @jennifer_sutto, - @nittyb_xyz, - @biggscrypto, - @EB7,  - @it_me_kat , , We'll be chatting #SXSW &amp; $APE, , https://t.co/9rUYWAluSs",0.7263
date,tweet,sentimentScore
